A	Coef.CD24HvsEpCAM	Coef.CD24LvsEpCAM	Coef.AirwayvsEpCAM	Coef.CD24HvsCD24L	t.CD24HvsEpCAM	t.CD24LvsEpCAM	t.AirwayvsEpCAM	t.CD24HvsCD24L	p.value.CD24HvsEpCAM	p.value.CD24LvsEpCAM	p.value.AirwayvsEpCAM	p.value.CD24HvsCD24L	Res.CD24HvsEpCAM	Res.CD24LvsEpCAM	Res.AirwayvsEpCAM	Res.CD24HvsCD24L	Genes.ENTREZID	Genes.GENENAME	Genes.SYMBOL	Genes.TXCHROM	Genes.TXSTART	Genes.TXEND
76187	3.7389389545564	1.95304401571109	1.14768632879725	1.55036517225417	0.80535768691384	6.20045052761145	0.887008862122482	3.75597225129098	0	4.92067269113888e-05	0.197882580580447	0.00185082790047539	0.918010883787085	1	0	1	0	76187	alcohol dehydrogenase, iron containing, 1	Adhfe1	chr1	9548046	9577968
72481	-0.596805264439514	2.18615730466567	2.06970706824806	2.12793218645687	0.116450236417612	2.5802956881374	2.24429634946788	2.6116391958809	0	0.0136505403939033	0.0242723808073255	0.0129287413381091	0.988433009588158	0	0	0	0	72481	RIKEN cDNA 2610203C22 gene	2610203C22Rik	chr1	9560833	9631092
70675	4.74227272486598	0.147579796910666	0.241336225049444	0.194458010980055	-0.0937564281387777	0	0	0	0	0.996336229036868	0.991410544105852	0.997246679265984	0.997973264612511	0	0	0	0	70675	valosin containing protein (p97)/p47 complex interacting protein 1	Vcpip1	chr1	9718622	9748382
170755	3.30602407964368	-0.11164211058527	0.707434565954786	0.297896227684758	-0.819076676540056	0	0	0	0	0.997593975701838	0.867630396186926	0.994985772008329	0.764146970086664	0	0	0	0	170755	serum/glucocorticoid regulated kinase 3	Sgk3	chr1	9798130	9902568
620986	1.56016035574979	1.40492644307268	-0.00522920242631808	0.69984862032318	1.410155645499	1.78173249076921	0	0	1.75710475167101	0.0524613420467894	0.999859840712929	0.896036437381617	0.0546034979508575	0	0	0	0	620986	predicted pseudogene 6195	Gm6195	NA	NA	NA
73824	2.87615316553791	-0.937823873593755	0.346307980900612	-0.295757946346571	-1.28413185449437	0	0	0	-1.60610804913046	0.631280693389471	0.998895372149729	0.999658251496832	0.0695597468158275	0	0	0	0	73824	small nucleolar RNA host gene 6	Snhg6	chr1	9942025	9944118
100038398	0.972024065993604	-0.143387822471662	-1.406092310197	-0.774740066334331	1.26270448772534	0	-1.11798383218501	0	0.731076031881797	0.994346952123631	0.144796563563546	0.784720489942722	0.240742328636738	0	0	0	0	100038398	NA	NA	NA	NA	NA
69312	0.663125426082516	7.62245682101729	5.04677222582997	6.33461452342363	2.57568459518732	4.52394821367614	2.58871275550462	3.61738986137178	2.28838831479315	0.000615671825336172	0.0149744435344785	0.00260232862659767	0.0226812055610511	1	0	1	0	69312	protein phosphatase 1, regulatory subunit 42	Ppp1r42	chr1	9968622	10009136
26754	5.82477303241794	1.25708402574671	0.550599227366726	0.903841626556717	0.706484798379981	1.95388518970871	0	0	0	0.0395179747303246	0.996083285966502	0.784330644562387	0.977395805990802	0	0	0	0	26754	COP9 signalosome subunit 5	Cops5	chr1	10024600	10038159
211660	5.8391773581363	2.9779268307632	1.23905214577961	2.1084894882714	1.73887468498359	13.4097948437811	1.55904913510689	8.23199417134423	5.50665019144402	4.75358909006231e-08	0.07491668514314	4.38295922663324e-06	0.000126505256668721	1	0	1	1	211660	centrosome and spindle pole associated protein 1	Cspp1	chr1	10038218	10060459
211673	7.16864310291197	0.129982333000853	-0.0573050644865036	0.0363386342571745	0.187287397487356	0	0	0	0	0.998786731877674	0.999511288854081	0.999885737267715	0.997917233714317	0	0	0	0	211673	ADP-ribosylation factor guanine nucleotide-exchange factor 1(brefeldin A-inhibited)	Arfgef1	chr1	10137507	10232670
109294	5.00024743130986	-1.49640582233152	-0.0470970126599228	-0.77175141749572	-1.44930880967159	-2.05872131725705	0	0	-1.84624806715891	0.033169095634457	0.999647287918754	0.864417671006754	0.0472101749594469	0	0	0	0	109294	phosphatidylinositol-3,4,5-trisphosphate-dependent Rac exchange factor 2	Prex2	chr1	10993465	11303682
320492	2.40815571687024	7.06635497122365	3.95369902789718	5.51002699956042	3.11265594332647	6.79119237617283	3.11748732487548	5.02614356802717	5.11589877648137	2.50699709517604e-05	0.00560471610988813	0.000266299356098887	0.000222565802387243	1	1	1	1	320492	RIKEN cDNA A830018L16 gene	A830018L16Rik	chr1	11414105	11596317
240725	2.92398800858965	-0.390451120868422	1.35670381317335	0.483126346152462	-1.74715493404177	0	1.13591656338651	0	-2.32915735534181	0.939699748970914	0.141161501128135	0.943030443177671	0.0209748840635428	0	0	0	0	240725	sulfatase 1	Sulf1	chr1	12692430	12860372
17978	6.06158812584462	-0.0111907456023106	-0.369681331837338	-0.190436038719824	0.358490586235027	0	0	0	0	0.999994908621885	0.998922735121034	0.999949799392721	0.999082082919503	0	0	0	0	17978	nuclear receptor coactivator 2	Ncoa2	chr1	13139105	13372429
72265	6.98246412278225	-0.775317975655639	-0.211127386480104	-0.493222681067872	-0.564190589175535	0	0	0	0	0.89662096712714	0.999627982934321	0.997275063519029	0.986996768478813	0	0	0	0	72265	translocating chain-associating membrane protein 1	Tram1	chr1	13564693	13589910
212442	4.988237342464	-0.901545229659254	-0.7294746390369	-0.815509934348077	-0.172070590622354	0	0	0	0	0.631492358945615	0.812394636537374	0.765165963670386	0.991087731680853	0	0	0	0	212442	lactamase, beta 2	Lactb2	chr1	13625900	13660509
14048	4.11079869949253	-1.18195673020902	0.530976763454118	-0.325489983377451	-1.71293349366314	-0.848954098119333	0	0	-3.41871948944949	0.207817021092688	0.985563950810665	0.998675862058989	0.00324843802396903	0	0	0	-1	14048	EYA transcriptional coactivator and phosphatase 1	Eya1	chr1	14168958	14304570
17681	-0.961809057909122	-1.45952985839715	2.23109408475254	0.385782113177691	-3.69062394314969	-1.01719933591568	3.66181860234313	0	-6.7935081344481	0.16657587406289	0.00216400088668378	0.948436298583839	2.32468061540561e-05	0	1	0	-1	17681	musculin	Msc	chr1	14753346	14755966
21749	4.04045980509847	-0.000334848808707822	0.799819588162406	0.399742369676849	-0.800154436971114	0	0	0	0	0.999993478722096	0.779634271066242	0.988612031017284	0.787521950251591	0	0	0	0	21749	telomeric repeat binding factor 1	Terf1	chr1	15805646	15822013
75799	0.391574476379228	6.87040001196918	3.86877017350534	5.36958509273726	3.00162983846384	9.85047957141966	4.36788703205383	7.22525147874862	6.03280387966239	9.19377859189409e-07	0.000701398164793624	1.41484973012242e-05	6.15764221377947e-05	1	1	1	1	75799	RIKEN cDNA 4930444P10 gene	4930444P10Rik	chr1	16065979	16093325
19989	7.9879998194654	-1.31584827775238	-0.170261990415565	-0.743055134083973	-1.14558628733682	-2.70099739407722	0	0	-1.24416000159292	0.0110738316956983	0.999985253027397	0.985494843964468	0.120810969612381	-1	0	0	0	19989	ribosomal protein L7	Rpl7	chr1	16101296	16104433
98711	5.25572875208984	-0.726427816026346	1.449847185087	0.361709684530325	-2.17627500111334	0	2.83333551972656	0	-7.0943953708279	0.925675117675764	0.00881805501740719	0.999346612698434	1.59989290184539e-05	0	0	0	-1	98711	retinol dehydrogenase 10 (all-trans)	Rdh10	chr1	16105882	16132550
29819	2.94836078388479	-0.541805316354377	-0.0714395820995168	-0.306622449226947	-0.470365734254861	0	0	0	0	0.988508994985655	0.999908554999123	0.999616953648678	0.993545624583335	0	0	0	0	29819	staufen double-stranded RNA binding protein 2	Stau2	chr1	16228810	16519302
66799	4.71257442957929	-0.505316392561865	0.158303048533865	-0.173506672014	-0.66361944109573	0	0	0	0	0.922000555666041	0.990235565979692	0.994107606790714	0.839109268798219	0	0	0	0	66799	ubiquitin-conjugating enzyme E2W (putative)	Ube2w	chr1	16540788	16619338
67923	5.07305059930948	-0.0642397147851179	0.249436656499572	0.0925984708572276	-0.31367637128469	0	0	0	0	0.998234319592317	0.989801256364284	0.998771992846369	0.985294491769012	0	0	0	0	67923	elongin C	Eloc	chr1	16641725	16656865
70397	4.4316164487047	-0.430822549776035	-0.132037832843008	-0.281430191309522	-0.298784716933027	0	0	0	0	0.998600306748053	0.999935268298317	0.999907322812389	0.999595375265693	0	0	0	0	70397	transmembrane protein 70	Tmem70	chr1	16665191	16678275
17087	1.27397204863275	-1.32358968571992	-0.0149118496166309	-0.669250767668277	-1.30867783610329	-1.10264725545619	0	0	-1.03507471403378	0.147923833178499	0.999704349643748	0.906774558779679	0.162433435786931	0	0	0	0	17087	lymphocyte antigen 96	Ly96	chr1	16688456	16709605
57339	1.333899813715	-1.75381428818402	-0.0693539793760221	-0.911584133780022	-1.684460308808	-2.44586117275319	0	0	-2.17965990632192	0.0171753667900274	0.998676953447569	0.642297584936169	0.0270505515934473	0	0	0	0	57339	junctophilin 1	Jph1	chr1	16994940	17097889
94227	1.84707632999266	-2.1163867608955	0.187808156001905	-0.964289302446798	-2.3041949168974	-2.02335838771458	0	0	-2.37620189730086	0.0352978486136881	0.969465274402665	0.534768501491136	0.0194132408868915	0	0	0	0	94227	peptidase inhibitor 15	Pi15	chr1	17601901	17630939
241035	0.670971513991976	-0.9092107643529	1.73878796511958	0.414788600383339	-2.64799872947248	0	2.79483725684113	0	-5.64762371745468	0.604672485028978	0.00942248361193155	0.975088382787839	0.000103951855786625	0	0	0	-1	241035	polycystic kidney and hepatic disease 1	Pkhd1	chr1	20057779	20618057
17215	2.54599169500242	-1.23346620890052	-0.115532108793289	-0.674499158846906	-1.11793410010723	-0.804070253099942	0	0	-0.394862492590379	0.219970895096896	0.997314522369906	0.903878701854238	0.350605504551264	0	0	0	0	17215	minichromosome maintenance complex component 3	Mcm3	chr1	20803014	20820213
74229	5.19637068418183	-3.20975438789367	-2.55719332621053	-2.8834738570521	-0.652561061683144	-16.6408991637896	-12.0914451107719	-17.4370695706762	0	5.90037321418893e-09	1.27334139399509e-07	3.73577013543119e-09	0.979930125364097	-1	-1	-1	0	74229	progestin and adipoQ receptor family member VIII	Paqr8	chr1	20890622	20938756
71877	4.62665615886183	6.30932767544507	3.0249962048557	4.66716194015038	3.28433147058937	10.499900435832	3.83393296997916	7.39876370280454	7.7597994883551	5.02000712859338e-07	0.00163667662942008	1.13722199807259e-05	7.3963318809486e-06	1	1	1	1	71877	EF-hand domain (C-terminal) containing 1	Efhc1	chr1	20951626	20990841
170829	0.388891489994091	0.246118662897785	-0.382756354026647	-0.0683188455644311	0.628875016924431	0	0	0	0	0.962861163887877	0.907994443625869	0.993378288407133	0.800923343752262	0	0	0	0	170829	translocating chain-associating membrane protein 2	Tram2	chr1	21001397	21079225
75712	2.60253312027394	1.24872889458569	-0.0859038181537297	0.581412538215979	1.33463271273942	0.802946672888059	0	0	1.03303421335909	0.220286082087024	0.990553439353274	0.901646974023784	0.162894141531394	0	0	0	0	75712	transmembrane protein 14A	Tmem14a	chr1	21218575	21230167
14859	7.17992760350434	1.08386835353581	3.57066998374097	2.32726916863839	-2.48680163020516	0.516865293324883	15.948585826566	9.34967755516045	-9.5951175298124	0.308205744066001	8.93769370518445e-09	1.39416038559791e-06	1.10040148918422e-06	0	1	1	-1	14859	glutathione S-transferase, alpha 3	Gsta3	chr1	21240585	21265575
241041	2.48229740726886	-2.15059817990715	-1.16483405646916	-1.65771611818816	-0.985764123437993	-2.9345711216453	-0.462472780207412	-2.1729095334107	0	0.00741512375045213	0.326845229874377	0.0273609386823416	0.513107246539087	-1	0	0	0	241041	predicted gene 4956	Gm4956	chr1	21285246	21298312
70155	3.46868809741538	-2.24111662307423	-1.44918813344668	-1.84515237826046	-0.791928489627542	-5.29343948496809	-2.04395620565003	-4.6020204943544	0	0.000171421772943159	0.0340007378891826	0.000479782183328425	0.772634198733889	-1	0	-1	0	70155	opioid growth factor receptor-like 1	Ogfrl1	chr1	23366424	23383175
280645	1.22686458017357	-1.47725545690112	-0.433950400940296	-0.955602928920708	-1.04330505596082	-1.57887450753406	0	0	-0.135216903973384	0.0726215254901787	0.966468216306707	0.571176316439261	0.447591504975685	0	0	0	0	280645	beta-1,3-glucuronyltransferase 2 (glucuronosyltransferase S)	B3gat2	chr1	23761926	23815740
98366	4.39418121968295	-0.132897865878424	-0.321476444037054	-0.227187154957739	0.18857857815863	0	0	0	0	0.999967949285098	0.999610502693868	0.999965704860945	0.999910869617726	0	0	0	0	98366	small ArfGAP 1	Smap1	chr1	23844825	23909736
68002	3.70623607022619	0.570877753493664	-0.170471999247722	0.200202877122971	0.741349752741387	0	0	0	0	0.982363398763983	0.999080218202132	0.999686382913729	0.903594736295426	0	0	0	0	68002	succinate dehydrogenase complex assembly factor 4	Sdhaf4	chr1	23995939	24005640
68187	5.00514715174057	0.135313239344349	0.16367872947827	0.149495984411309	-0.028365490133921	0	0	0	0	0.999527430051161	0.999249776819944	0.999775538307618	0.999919101519296	0	0	0	0	68187	family with sequence similarity 135, member A	Fam135a	chr1	24010758	24030528
68421	6.3894496343827	0.302237862819887	-0.126173978648171	0.0880319420858582	0.428411841468058	0	0	0	0	0.999951063864462	0.999992231452751	0.999998782838625	0.99975073055123	0	0	0	0	68421	LMBR1 domain containing 1	Lmbrd1	chr1	24678544	24766301
665903	1.64966391875463	-0.529504360708609	0.328611335920473	-0.100446512394068	-0.858115696629082	0	0	0	0	0.898034435605196	0.967195796140047	0.996022572041891	0.65779780140807	0	0	0	0	665903	predicted gene 7846	Gm7846	NA	NA	NA
791350	-1.05732027248329	-4.45722201811049	-2.93549399845175	-3.69635800828112	-1.52172801965875	-5.97964219443363	-3.91549543133686	-6.53422730394179	-0.756109069054835	6.72611502182144e-05	0.00143060940303317	3.21924387384353e-05	0.235640950960269	-1	-1	-1	0	791350	predicted gene 9898	Gm9898	NA	NA	NA
213109	6.79379434235139	0.5039536121081	0.200371151822625	0.352162381965363	0.303582460285475	0	0	0	0	0.999494957198565	0.999987748452156	0.999978364805238	0.999963110617799	0	0	0	0	213109	PHD finger protein 3	Phf3	chr1	30802342	30863256
19243	6.1079020197923	-0.959113429520878	0.949943586575921	-0.00458492147247824	-1.9090570160968	0	0	0	-2.91353600153841	0.550100061145954	0.56415703986248	0.999891977779928	0.00768373559028195	0	0	0	0	19243	protein tyrosine phosphatase 4a1	Ptp4a1	chr1	30940303	30949755
19076	2.35893179644208	-0.648401498369514	-0.0209100943314851	-0.334655796350499	-0.627491404038029	0	0	0	0	0.929730037285765	0.999871545327582	0.99755679279388	0.936237063082476	0	0	0	0	19076	DNA primase, p58 subunit	Prim2	chr1	33453808	33669794
19335	4.24621329801154	2.23003828886823	0.284969398302347	1.25750384358529	1.94506889056588	5.96987859848088	0	1.28656637678099	4.68079336731671	6.68650671676711e-05	0.993162587097278	0.113518382240412	0.000425228973721831	1	0	0	1	19335	RAB23, member RAS oncogene family	Rab23	chr1	33719896	33726891
213539	4.23208040372914	2.33333510297707	0.745370937830881	1.53935302040398	1.58796416514619	9.65208307247555	0	4.05775173738202	4.70286884263032	1.04217125026599e-06	0.934222551336733	0.00113121146569518	0.000411127959851059	1	0	1	1	213539	BCL2-associated athanogene 2	Bag2	chr1	33745484	33757750
98403	4.19794714945088	0.0823680631891781	0.270026300944632	0.176197182066905	-0.187658237755453	0	0	0	0	0.999941103024279	0.999479127945065	0.999933542421448	0.999823909443988	0	0	0	0	98403	zinc finger protein 451	Zfp451	chr1	33761541	33814595
433287	2.30507339493093	0.416902801682031	-0.0788558071111809	0.169023497285425	0.495758608793212	0	0	0	0	0.995764742252474	0.999675262163801	0.999762752782829	0.989377069570924	0	0	0	0	433287	predicted gene 15455	Gm15455	chr1	33835899	33838914
13518	7.09298653800714	-1.13032238756851	0.0375576107275144	-0.5463823884205	-1.16787999829603	-1.09211008790296	0	0	-1.40564365973402	0.15011215182296	0.999997637433555	0.999361912110793	0.0949629226738524	0	0	0	0	13518	dystonin	Dst	chr1	33908225	34308662
69668	3.66708838657312	-0.461825153099174	0.032595946072103	-0.214614603513536	-0.494421099171277	0	0	0	0	0.997987007523921	0.999989362769411	0.999958476384547	0.996845907018276	0	0	0	0	69668	coiled-coil domain containing 115	Ccdc115	chr1	34436670	34439672
27993	4.26035883684652	-0.144301995589889	-0.110249872293657	-0.127275933941773	-0.0340521232962319	0	0	0	0	0.999890761564523	0.999897444387403	0.999966659919022	0.999975004690609	0	0	0	0	27993	IMP4, U3 small nucleolar ribonucleoprotein	Imp4	chr1	34439829	34445747
52318	3.03226711507755	-0.322328152489149	-0.427883666568477	-0.375105909528813	0.105555514079328	0	0	0	0	0.999702260948698	0.998445112322211	0.999777552410794	0.999947070426011	0	0	0	0	52318	DNA segment, Chr 1, ERATO Doi 448, expressed	D1Ertd448e	NA	NA	NA
19253	5.12024219825906	-1.43170538299611	0.456401461965696	-0.487651960515205	-1.8881068449618	-2.48227407516998	0	0	-5.16800580437112	0.0161327803897454	0.997199490087639	0.997776958685231	0.000205532776642159	0	0	0	-1	19253	protein tyrosine phosphatase, non-receptor type 18	Ptpn18	chr1	34459746	34473779
226970	3.1613399081475	0.729219205221251	-0.903240031918534	-0.0870104133486413	1.63245923713979	0	0	0	3.72109269549889	0.957536788270958	0.695540376632947	0.999974781093941	0.00196059261909769	0	0	0	1	226970	Rho guanine nucleotide exchange factor (GEF) 4	Arhgef4	chr1	34721924	34812754
214469	7.27914069827494	-0.78742981636953	-0.845465404424655	-0.816447610397092	0.0580355880551249	0	0	0	0	0.979850467326808	0.940194806032367	0.979545875642109	0.999999632228104	0	0	0	0	214469	family with sequence similarity 168, member B	Fam168b	chr1	34813218	34843050
226971	6.63244484762074	-1.45446501959845	-1.51142738049356	-1.482946200046	0.056962360895116	-5.30812547419625	-5.88413539184198	-6.51162464538595	0	0.000167804254135084	7.50635912221273e-05	3.28994577227964e-05	0.999999736018034	-1	-1	-1	0	226971	pleckstrin homology domain containing, family B (evectins) member 2	Plekhb2	chr1	34849959	34871557
50785	6.02698241382612	1.02074457575667	-0.0717518323187214	0.474496371718974	1.09249640807539	0.150921423587118	0	0	0.664529177614369	0.441509143036821	0.999975256118027	0.999233110013822	0.26063904870898	0	0	0	0	50785	heparan sulfate 6-O-sulfotransferase 1	Hs6st1	chr1	36068400	36106446
320011	6.37073110010151	0.00516370170164571	-0.318914402769126	-0.15687535053374	0.324078104470772	0	0	0	0	0.999999973461809	0.99998951952871	0.999999639149855	0.999989282938682	0	0	0	0	320011	UDP-glucose glycoprotein glucosyltransferase 1	Uggt1	chr1	36140028	36165811
214854	3.57316857333165	1.8496988659838	1.34417065154136	1.59693475876258	0.505528214442447	2.11772766092291	0.803846834614953	1.56913966918972	0	0.0300489164214842	0.220156827096981	0.0737604597456949	0.917448270658633	0	0	0	0	214854	neuralized E3 ubiquitin protein ligase 3	Neurl3	chr1	36264602	36273425
214855	5.71384904763964	1.42439636877575	1.05905656288266	1.24172646582921	0.365339805893092	2.18649229387595	0.297914903866932	1.39309624334829	0	0.0267361416182016	0.38591264688379	0.0967892071722066	0.997015905875238	0	0	0	0	214855	AT rich interactive domain 5A (MRF1-like)	Arid5a	chr1	36307733	36324029
226976	6.40419405265611	0.550469158421721	-0.0250769645767024	0.262696096922509	0.575546122998423	0	0	0	0	0.998481364432587	0.999998418492511	0.999986855486449	0.997750616966174	0	0	0	0	226976	KAT8 regulatory NSL complex subunit 3	Kansl3	chr1	36335730	36368014
214895	5.01302766427274	0.0103289910735835	-0.0404568098403528	-0.0150639093833851	0.0507858009139364	0	0	0	0	0.999999678961315	0.999998255047748	0.999999849295315	0.999998097800358	0	0	0	0	214895	lectin, mannose-binding 2-like	Lman2l	chr1	36423186	36441579
94220	3.73862014711929	1.99526978301722	1.12692555929704	1.56109767115713	0.868344223720181	6.48289404058585	0.759373646029068	3.82545441019977	0	3.4128546337524e-05	0.232517279376839	0.00165085338165847	0.832145971482191	1	0	1	0	94220	cyclin M4	Cnnm4	chr1	36471597	36508776
94218	4.8104496921548	-0.867978582790101	-0.925501661785287	-0.896740122287694	0.0575230789951853	0	0	0	0	0.888508360923805	0.749125516152889	0.865172237590097	0.999997879181448	0	0	0	0	94218	cyclin M3	Cnnm3	chr1	36511876	36528237
78321	3.39862364135611	0.828104634467743	0.567857506740603	0.697981070604173	0.26024712772714	0	0	0	0	0.854026755409072	0.987112190674279	0.969944003227316	0.999773153971466	0	0	0	0	78321	ankyrin repeat domain 23	Ankrd23	chr1	36530193	36535739
109346	3.40340311949732	0.13710658513847	-0.407396423962625	-0.135144919412078	0.544503009101095	0	0	0	0	0.99995984552704	0.998336008317108	0.999980562398246	0.993984603472504	0	0	0	0	109346	ankyrin repeat domain 39	Ankrd39	chr1	36538171	36547252
20353	4.62911092198463	-1.38652130948395	-0.261160585251409	-0.823840947367678	-1.12536072423254	-1.91597480736769	0	0	-0.605328785944699	0.0420829983305347	0.998700292119951	0.845534539673899	0.279178359679659	0	0	0	0	20353	sema domain, immunoglobulin domain (Ig), transmembrane domain (TM) and short cytoplasmic domain, (semaphorin) 4C	Sema4c	chr1	36548639	36557557
381337	1.06944160500982	-5.91497281683817	-5.12090820092694	-5.51794050888255	-0.794064615911226	-15.8285714760251	-14.2311740429231	-20.5527736591806	0	9.92205213326738e-09	2.73885740691409e-08	7.62989290402496e-10	0.68796681085234	-1	-1	-1	0	381337	family with sequence similarity 178, member B	Fam178b	chr1	36562696	36593332
12859	4.47790612642486	0.258563236494991	0.0414524525901028	0.150007844542547	0.217110783904888	0	0	0	0	0.999545065894173	0.999950308623273	0.999934008368709	0.999669617100775	0	0	0	0	12859	cytochrome c oxidase subunit Vb	Cox5b	chr1	36691487	36693388
226977	6.49443657280628	-0.016528165010854	-0.76709117599673	-0.391809670503792	0.750563010985876	0	0	0	0	0.999999791561461	0.977468883434311	0.999982565722756	0.983175521592341	0	0	0	0	226977	ARP1 actin-related protein 1B, centractin beta	Actr1b	chr1	36699202	36709925
22637	2.63980557308959	7.01862162383494	3.265792496025	5.14220705992997	3.75282912780994	8.53881049403216	2.96571789339633	5.82323176455372	7.43502106208094	3.38959987166399e-06	0.00713748646938253	8.44110703757605e-05	1.07672070736775e-05	1	0	1	1	22637	zeta-chain (TCR) associated protein kinase	Zap70	chr1	36761798	36782820
56030	6.2577137266726	0.16402049622035	-0.267339702390694	-0.0516596030851719	0.431360198611044	0	0	0	0	0.999997436446374	0.999989479443302	0.999999845198697	0.999919069941367	0	0	0	0	56030	transmembrane protein 131	Tmem131	chr1	36792189	36808476
70853	3.58754035594358	6.92165979089151	3.20881487163311	5.06523733126231	3.7128449192584	10.2917057078196	3.6024788637984	7.07254328480458	8.92157635971795	6.13646997564352e-07	0.00240847537117646	1.68809755019967e-05	2.14449133342287e-06	1	1	1	1	70853	von Willebrand factor A domain containing 3B	Vwa3b	NA	NA	NA
269180	5.58948956609523	0.0305300343473229	-0.844582261966614	-0.407026113809645	0.875112296313937	0	0	0	0	0.999998897216824	0.888755897537459	0.999934792532886	0.841868613089677	0	0	0	0	269180	inositol polyphosphate-4-phosphatase, type I	Inpp4a	chr1	37299838	37399557
76178	5.46955068897286	-1.10653696104576	-0.410274686770141	-0.758405823907951	-0.696262274275621	-0.939023210181478	0	0	0	0.184848227042701	0.999827866034078	0.984597289751064	0.98710285324282	0	0	0	0	76178	cytochrome C oxidase assembly factor 5	Coa5	chr1	37417085	37430103
67387	5.21283066434117	-0.646710858886211	-0.223901440524418	-0.435306149705315	-0.422809418361793	0	0	0	0	0.997205629929756	0.999992274376482	0.999967582395635	0.999890111481508	0	0	0	0	67387	unc-50 homolog (C. elegans)	Unc50	chr1	37430172	37439124
269181	4.71508557574161	2.27620387128135	2.10493691149085	2.1905703913861	0.171266959790498	5.35004958637596	4.54591356326582	5.35886165941818	0	0.000158049571814048	0.000523207992520258	0.000156056909956582	0.999445327110181	1	1	1	0	269181	mannoside acetylglucosaminyltransferase 4, isoenzyme A	Mgat4a	chr1	37439340	37496095
72097	6.3693265182273	1.96467810272604	0.898242926792623	1.43146051475933	1.06643517593342	11.0273911837612	0	5.55863573598009	0.785779837453668	3.0315499757926e-07	0.859611675221589	0.000117591612637626	0.225045325717872	1	0	1	0	72097	RIKEN cDNA 2010300C02 gene	2010300C02Rik	chr1	37611676	37719811
