A	Coef.BasalvsNon	Coef.BasalvsAirway	Coef.BasalvsEpCAM	t.BasalvsNon	t.BasalvsAirway	t.BasalvsEpCAM	p.value.BasalvsNon	p.value.BasalvsAirway	p.value.BasalvsEpCAM	Res.BasalvsNon	Res.BasalvsAirway	Res.BasalvsEpCAM	Genes.ENTREZID	Genes.GENENAME	Genes.SYMBOL	Genes.TXCHROM	Genes.TXSTART	Genes.TXEND
76187	2.1860819566947	-1.61583583955945	-5.28726943011417	-3.77923680633416	-2.11494150675738	-17.4807509945053	-10.1109137146862	0.0261107958985227	1.95272544141291e-11	2.99853522394559e-08	0	-1	-1	76187	alcohol dehydrogenase, iron containing, 1	Adhfe1	chr1	9548046	9577968
72481	-1.30932149673657	-0.247263893590787	-2.69684653594469	-0.608893995828848	0	-4.55716599811371	0	0.947025290837662	0.000206019072603185	0.775787802702223	0	-1	0	72481	RIKEN cDNA 2610203C22 gene	2610203C22Rik	chr1	9560833	9631092
17864	0.40639798242925	1.36992616714442	2.62869065815844	2.49804217430346	1.85415516424432	6.66929625968868	4.58892863155049	0.0420995751281152	4.48104423674106e-06	0.000193657633441646	0	1	1	17864	myeloblastosis oncogene-like 1	Mybl1	chr1	9667411	9700209
70675	5.1113652624767	0.100800883618063	0.836605909714986	0.985970851306528	0	0	0	0.999942796817615	0.828470708913124	0.526342855370937	0	0	0	70675	valosin containing protein (p97)/p47 complex interacting protein 1	Vcpip1	chr1	9718622	9748382
170755	4.10335327926064	0.863295874992343	2.2492564735954	2.50291166815917	0	9.10595228268448	7.89821594347977	0.863333388257612	1.12375945098059e-07	6.36977184371205e-07	0	1	1	170755	serum/glucocorticoid regulated kinase 3	Sgk3	chr1	9798130	9902568
620986	1.54525777558387	-0.347595115906222	-0.518952624714206	0.138270116714515	0	0	0	0.999020623954558	0.992559810714567	0.998882535032101	0	0	0	620986	predicted pseudogene 6195	Gm6195	NA	NA	NA
73824	2.74859576565715	0.254792538725215	-0.175347913156358	-0.512621748482275	0	0	0	0.999996979050875	0.999999441972389	0.999398120742069	0	0	0	73824	small nucleolar RNA host gene 6	Snhg6	chr1	9942025	9944118
100038398	1.13838229975869	-1.72927999543257	-0.264509635821115	-1.08291917105929	-3.87409405027314	0	-0.342518198484698	0.000795560978328242	0.997486769730762	0.368441551750762	-1	0	0	100038398	NA	NA	NA	NA	NA
69312	0.04932837801561	-3.25941562218163	-5.36344554953551	0.928525305763779	-2.21757670272867	-4.55327080251669	0	0.0219546145945491	0.000212252507430685	0.64638153829045	0	-1	0	69312	protein phosphatase 1, regulatory subunit 42	Ppp1r42	chr1	9968622	10009136
26754	5.8014065238033	-0.396608464645754	-0.637292661424588	0.223878766152383	0	0	0	0.999979077069033	0.999260351039873	0.999995803209977	0	0	0	26754	COP9 signalosome subunit 5	Cops5	chr1	10024600	10038159
211660	5.65978972123035	-0.201032088614649	-1.33563723211551	0.73233364850003	0	-3.24196507032896	0	0.999996527219173	0.00284464341816353	0.958481552635789	0	-1	0	211660	centrosome and spindle pole associated protein 1	Cspp1	chr1	10038218	10060459
211673	7.43241366562892	0.270862028890282	0.702716640081836	0.697670224028356	0	0	0	0.999045560040751	0.951813852459431	0.931346788550867	0	0	0	211673	ADP-ribosylation factor guanine nucleotide-exchange factor 1(brefeldin A-inhibited)	Arfgef1	chr1	10137507	10232670
109294	2.31896238090598	-0.33398594755954	-6.69594316108589	-7.51026243953586	0	-9.57881872216231	-10.8533823618623	0.847701403086117	6.07377115384686e-08	1.23603885592781e-08	0	-1	-1	109294	phosphatidylinositol-3,4,5-trisphosphate-dependent Rac exchange factor 2	Prex2	chr1	10993465	11303682
320492	0.555111296028301	-4.63842497153762	-8.88837473742436	-3.41821530636701	-2.91910921500459	-6.77903104045232	-1.68700022622938	0.00566697393254715	3.9975174282959e-06	0.0604361383394916	-1	-1	0	320492	RIKEN cDNA A830018L16 gene	A830018L16Rik	chr1	11414105	11596317
240725	3.8523112150554	1.73588850729844	2.94312893074728	3.38661638056792	5.45740812716025	11.9967421618799	10.2528952735366	3.74759930760703e-05	3.23168442088871e-09	2.50693365881755e-08	1	1	1	240725	sulfatase 1	Sulf1	chr1	12692430	12860372
17978	6.24902030920254	0.374855226102704	0.63895818328188	0.406498218638528	0	0	0	0.999858259728281	0.996052669862357	0.999705907943752	0	0	0	17978	nuclear receptor coactivator 2	Ncoa2	chr1	13139105	13372429
72265	6.9136115773589	-0.823756617690589	-0.499712319130455	-1.03441446305771	0	0	-0.232223843217762	0.873345375778748	0.99922333115263	0.409807281561787	0	0	0	72265	translocating chain-associating membrane protein 1	Tram1	chr1	13564693	13589910
212442	4.70532748248343	-0.494353229296564	-0.750996041600823	-1.61317711297405	0	0	-2.70405930638845	0.980898627297829	0.876194781494226	0.00836213977112675	0	0	-1	212442	lactamase, beta 2	Lactb2	chr1	13625900	13660509
14048	4.93704822066133	-0.648415510550399	1.77906142921948	1.40856843012496	0	6.34215314659477	2.85998506457084	0.996303751503025	7.79284786464017e-06	0.00613106645697963	0	1	1	14048	EYA transcriptional coactivator and phosphatase 1	Eya1	chr1	14168958	14304570
17681	-1.66286988305599	-3.58629089819033	-3.7526149750011	-3.40862298315593	-6.95911630026507	-7.47414517296883	-5.90229140282858	2.78030654553701e-06	1.22251396441689e-06	1.67986685781337e-05	-1	-1	-1	17681	musculin	Msc	chr1	14753346	14755966
98741	-0.533258303050552	0.519664470288637	2.12673488285841	3.75884311676151	0	4.4895629030434	6.39364623640368	0.984301852372923	0.000235006706701757	7.14556454038159e-06	0	1	1	98741	potassium voltage gated channel, Shab-related subfamily, member 2	Kcnb2	chr1	15312452	15714214
21749	4.38995139215479	-0.205808307818026	0.561713687186634	0.915049239512396	0	0	0	0.999974764288123	0.996095655732181	0.668151630713764	0	0	0	21749	telomeric repeat binding factor 1	Terf1	chr1	15805646	15822013
75799	-0.267202377661227	-4.70511426358047	-5.87621313155578	-0.520594584973137	-7.76955105503664	-10.3916645571861	0	7.77542523929691e-07	2.13058608422648e-08	0.771388163352662	-1	-1	0	75799	RIKEN cDNA 4930444P10 gene	4930444P10Rik	chr1	16065979	16093325
19989	8.01470672087339	0.455598329451655	0.461444556225757	-0.322655330442778	0	0	0	0.999954383317801	0.999988515017935	0.999995802018322	0	0	0	19989	ribosomal protein L7	Rpl7	chr1	16101296	16104433
98711	5.73448248196024	-1.8405832614647	0.0787361031861207	0.397297026817959	-6.74739209525552	0	0	3.93486517315733e-06	0.999999452683627	0.99963404912232	-1	0	0	98711	retinol dehydrogenase 10 (all-trans)	Rdh10	chr1	16105882	16132550
29819	3.23954794351171	0.0202703301440126	0.765453613506679	0.416295450960377	0	0	0	0.999999996540674	0.983991208749208	0.99988830443097	0	0	0	29819	staufen double-stranded RNA binding protein 2	Stau2	chr1	16228810	16519302
66799	4.83619925446382	-0.213761414464902	0.188396219417963	-0.0314840991166454	0	0	0	0.998962244093959	0.999416071577319	0.999763269831418	0	0	0	66799	ubiquitin-conjugating enzyme E2W (putative)	Ube2w	chr1	16540788	16619338
67923	5.04499788819942	0.0522680572391909	-0.150822753567841	-0.102252065776941	0	0	0	0.999921247350009	0.999856810588612	0.999590444266478	0	0	0	67923	elongin C	Eloc	chr1	16641725	16656865
70397	4.53757522944548	0.00396381483523189	0.285652099851327	-0.0400019421300248	0	0	0	0.999999996355731	0.999998376708942	0.999999785756426	0	0	0	70397	transmembrane protein 70	Tmem70	chr1	16665191	16678275
17087	1.75935639279314	-0.710670851714492	1.00011560970504	0.287216822456638	0	0.000680448177023301	0	0.979157960890244	0.499733188000377	0.998816007773064	0	0	0	17087	lymphocyte antigen 96	Ly96	chr1	16688456	16709605
57339	1.77513039225345	0.638715398385165	1.6526711496952	0.697655918885797	0	3.34665212655017	0	0.980525979209534	0.00230262885233733	0.911653755359347	0	1	0	57339	junctophilin 1	Jph1	chr1	16994940	17097889
94227	-0.385040872818523	-2.12369315359757	-6.3905071640206	-7.39753687448887	-0.996069581523291	-5.69804500074508	-6.72470390930074	0.175138145959447	2.49151066688893e-05	4.25117987728235e-06	0	-1	-1	94227	peptidase inhibitor 15	Pi15	chr1	17601901	17630939
241035	0.15591136376325	-1.2856259498036	-2.1386069786577	-1.76659499498075	-0.954846243739206	-4.06174819867208	-2.32534330263219	0.177664450206817	0.000546767901678152	0.0175235346974469	0	-1	0	241035	polycystic kidney and hepatic disease 1	Pkhd1	chr1	20057779	20618057
17215	3.10220074342504	1.07035430828005	2.05669920254362	1.34297721772851	0.399975161499904	4.90785497633032	1.39856634370674	0.347506806677874	0.000104808141182312	0.0914985638737844	0	1	0	17215	minichromosome maintenance complex component 3	Mcm3	chr1	20803014	20820213
74229	5.13619160903943	0.159380163385129	0.817264141569798	-2.11089742975914	0	0	-11.4305788660821	0.999999728380333	0.956407630867645	6.11067389520672e-09	0	0	-1	74229	progestin and adipoQ receptor family member VIII	Paqr8	chr1	20890622	20938756
71877	3.85868280040914	-3.2315794878388	-5.19553945948114	-0.563732845169886	-5.54484427954841	-10.8282717869192	0	3.19538416724914e-05	1.24530119366665e-08	0.767258199929649	-1	-1	0	71877	EF-hand domain (C-terminal) containing 1	Efhc1	chr1	20951626	20990841
170829	0.479052009493019	1.27731391621014	0.79718785162669	0.689554234917734	1.05291699834445	0	0	0.154817592397624	0.793342781892184	0.837944635588555	0	0	0	170829	translocating chain-associating membrane protein 2	Tram2	chr1	21001397	21079225
75712	2.26942782203848	-0.275022971506884	-1.25066388926805	-0.711061541850877	0	-1.12051993881343	0	0.995141833088261	0.140367571368641	0.835887788581539	0	0	0	75712	transmembrane protein 14A	Tmem14a	chr1	21218575	21230167
14859	8.03288246750674	-1.31985229009408	0.615490619247307	2.90232901058515	-1.94944661369082	0	11.4639910369603	0.0354418396998799	0.993212080868936	5.88131667525015e-09	0	0	1	14859	glutathione S-transferase, alpha 3	Gsta3	chr1	21240585	21265575
241041	-0.679622178859765	-0.284073712626191	-7.59360089083814	-9.28867692238606	0	-8.14209709526822	-10.2890949838455	0.868566016699524	4.58630130595732e-07	2.53590769482711e-08	0	-1	-1	241041	predicted gene 4956	Gm4956	chr1	21285246	21298312
226922	-0.358523783738717	3.87964040755988	1.87731351223014	3.05860403896437	9.79460695250595	4.42625029787833	6.32234713522804	4.49650006759747e-08	0.000265998353505061	8.06411396816193e-06	1	1	1	226922	potassium voltage-gated channel, subfamily Q, member 5	Kcnq5	chr1	21398399	21962650
70155	3.80018847127759	0.214431628193782	1.47468437823786	-0.414850223363898	0	3.29276781431581	0	0.999994411139748	0.00256734733155233	0.999742720121954	0	1	0	70155	opioid growth factor receptor-like 1	Ogfrl1	chr1	23366424	23383175
280645	0.947908544656222	0.0970642130803379	-0.414273393075732	-1.41339022221397	0	0	-1.74408074583271	0.999226512877939	0.990245762133501	0.0511645839489148	0	0	0	280645	beta-1,3-glucuronyltransferase 2 (glucuronosyltransferase S)	B3gat2	chr1	23761926	23815740
98366	4.58682012559696	0.0630355073050612	0.509619034467856	0.238953914416505	0	0	0	0.99999999191578	0.999980534212397	0.999999014749927	0	0	0	98366	small ArfGAP 1	Smap1	chr1	23844825	23909736
68002	3.41850825658632	-0.49308584982864	-1.11375995815235	-0.954971208807726	0	-0.886430393711386	0	0.998951068207028	0.194935977593188	0.611093308196752	0	0	0	68002	succinate dehydrogenase complex assembly factor 4	Sdhaf4	chr1	23995939	24005640
68187	5.10959777820817	0.410103756810984	0.337479422155321	0.442907192870482	0	0	0	0.999492349330753	0.999911731213633	0.998046507836841	0	0	0	68187	family with sequence similarity 135, member A	Fam135a	chr1	24010758	24030528
68421	6.26393019501994	-0.352900270503993	-0.599932169161209	-0.553234752163713	0	0	0	0.999997767938353	0.999910190556201	0.999867183127164	0	0	0	68421	LMBR1 domain containing 1	Lmbrd1	chr1	24678544	24766301
665903	1.36827049137407	0.23387452172834	-0.627415382703747	-0.772432820676557	0	0	0	0.994710512682774	0.933339147781382	0.78402304063171	0	0	0	665903	predicted gene 7846	Gm7846	NA	NA	NA
791350	-1.85428032445577	0.795499813659979	-0.433104130402885	-4.17209160505393	0	0	-7.57872850542678	0.641703308734197	0.876820327926707	1.04013532280192e-06	0	0	-1	791350	predicted gene 9898	Gm9898	NA	NA	NA
213109	7.11746906124076	0.292327042092375	0.757702242334059	1.06847196020588	0	0	0.693486655120242	0.999998259980295	0.993743724527079	0.249489654299236	0	0	0	213109	PHD finger protein 3	Phf3	chr1	30802342	30863256
19243	6.51231424184082	-0.366706392972756	0.751433257928223	0.704158784025992	0	0	0	0.988745171799351	0.859975003643763	0.866474547376273	0	0	0	19243	protein tyrosine phosphatase 4a1	Ptp4a1	chr1	30940303	30949755
70988	-1.60600901879437	-2.00190525518882	1.09026706886581	3.55820470914865	-3.60041124529956	0.242979759176851	4.64321310499736	0.00137953742549558	0.405742368580946	0.000174652962132044	-1	0	1	70988	RIKEN cDNA 4931428L18 gene	4931428L18Rik	chr1	31141078	31222656
19076	2.62870056499626	0.565959189644071	0.983771988719755	0.606568902227606	0	0	0	0.998916209856882	0.549660181511013	0.988090776261421	0	0	0	19076	DNA primase, p58 subunit	Prim2	chr1	33453808	33669794
19335	4.22987762428188	0.165848216369122	-0.468057422438392	0.750773923736076	0	0	0	0.999994039719286	0.999671093587886	0.909861653771418	0	0	0	19335	RAB23, member RAS oncogene family	Rab23	chr1	33719896	33726891
213539	4.46758789941733	-0.858360226463707	-0.435985835879704	1.0624694995534	0	0	0.394216355826682	0.904784538458157	0.999965239959664	0.349583347417717	0	0	0	213539	BCL2-associated athanogene 2	Bag2	chr1	33745484	33757750
98403	4.38153017952894	0.293509962625067	0.470970113652621	0.604857414030429	0	0	0	0.999998361068822	0.999970580901997	0.997268522410869	0	0	0	98403	zinc finger protein 451	Zfp451	chr1	33761541	33814595
433287	2.349788792429	-0.0509321592061722	-0.0491884719758708	0.0772531088628252	0	0	0	0.999999698348829	0.999999625042539	0.999988949964299	0	0	0	433287	predicted gene 15455	Gm15455	chr1	33835899	33838914
13518	7.57447590326436	2.13772358433527	2.37340759349945	1.78597988778269	7.0889034820453	9.70494236847613	4.89997844324007	2.25094517161551e-06	5.04816069069132e-08	0.000106393649958169	1	1	1	13518	dystonin	Dst	chr1	33908225	34308662
69668	3.74774008136514	-0.0431127448923632	0.174076144686189	-0.0831528623872533	0	0	0	0.999999994263476	0.999999929198262	0.999999826569951	0	0	0	69668	coiled-coil domain containing 115	Ccdc115	chr1	34436670	34439672
27993	4.5130851584688	0.0481566282738406	0.61537250868329	0.447922616506495	0	0	0	0.999999984200284	0.999562409107325	0.99990153986111	0	0	0	27993	IMP4, U3 small nucleolar ribonucleoprotein	Imp4	chr1	34439829	34445747
52318	3.13967014650024	0.0979085183241728	0.365424264634587	-0.0518936161518782	0	0	0	0.99999998801454	0.999998045388896	0.999999916082142	0	0	0	52318	DNA segment, Chr 1, ERATO Doi 448, expressed	D1Ertd448e	NA	NA	NA
19253	5.26494340563429	-1.72142359406791	-0.419432206220848	-0.947962552052978	-6.19955696947824	0	0	9.96454838525587e-06	0.999933373736787	0.657381938331186	-1	0	0	19253	protein tyrosine phosphatase, non-receptor type 18	Ptpn18	chr1	34459746	34473779
226970	3.44365896777538	1.15114398108966	1.22945584905858	1.10185946259253	1.76582747366879	2.489871729727	0.910638744729836	0.0492477282376749	0.012743857076994	0.188698700776031	0	1	0	226970	Rho guanine nucleotide exchange factor (GEF) 4	Arhgef4	chr1	34721924	34812754
214469	7.30194848856976	0.466124120673149	0.481804612420241	-0.375940632165712	0	0	0	0.999997616211852	0.999999324237194	0.999999623742742	0	0	0	214469	family with sequence similarity 168, member B	Fam168b	chr1	34813218	34843050
226971	6.86959202957589	-0.527974656543939	0.743124324256373	-0.781413746938167	0	0	0	0.999993326683377	0.999345839269901	0.995280742702698	0	0	0	226971	pleckstrin homology domain containing, family B (evectins) member 2	Plekhb2	chr1	34849959	34871557
50785	6.26114115708259	1.31018261450237	0.997705821956659	1.43267923861492	2.99412346987009	0	3.94510059439196	0.00468625600839493	0.509741869157606	0.00069011799248609	1	0	1	50785	heparan sulfate 6-O-sulfotransferase 1	Hs6st1	chr1	36068400	36106446
320011	6.50906760479112	-0.0282512473431522	0.304403786954447	0.106125754749717	0	0	0	0.999999998764758	0.999999964896881	0.999999991574896	0	0	0	320011	UDP-glucose glycoprotein glucosyltransferase 1	Uggt1	chr1	36140028	36165811
214854	3.07165800981229	-0.235123910113893	-1.99362024390607	-0.431142108394003	0	-3.66969141991018	0	0.984867918930047	0.00119974754526059	0.915910100848082	0	-1	0	214854	neuralized E3 ubiquitin protein ligase 3	Neurl3	chr1	36264602	36273425
214855	5.85397518030364	0.738851685905542	0.222958602358376	1.42685980072432	0	0	1.23826747531565	0.801307187035811	0.994967786719335	0.117662115598508	0	0	0	214855	AT rich interactive domain 5A (MRF1-like)	Arid5a	chr1	36307733	36324029
226976	6.3576055238264	0.417055459104236	-0.0777332859513868	0.144400717901263	0	0	0	0.999992459869516	0.999999994889516	0.999999887206904	0	0	0	226976	KAT8 regulatory NSL complex subunit 3	Kansl3	chr1	36335730	36368014
214895	5.01932278369016	-0.334145246795639	-0.226568644426323	-0.282267304215193	0	0	0	0.999999578275203	0.999999972833183	0.999999373100069	0	0	0	214895	lectin, mannose-binding 2-like	Lman2l	chr1	36423186	36441579
94220	4.27738008527556	-0.0533296061212942	0.718672654987644	2.23875496639627	0	0	8.18502892956725	0.99999999150008	0.9966351027635	4.1537125992588e-07	0	0	1	94220	cyclin M4	Cnnm4	chr1	36471597	36508776
94218	4.83566532691459	0.274273259009766	0.415767536187226	-0.520872194471236	0	0	0	0.999999940485913	0.999999478593039	0.999986648020134	0	0	0	94218	cyclin M3	Cnnm3	chr1	36511876	36528237
78321	3.15289419342044	0.215808172701401	-0.821307121070865	-0.164439059179789	0	0	0	0.999997120538389	0.953042852755366	0.999988617214017	0	0	0	78321	ankyrin repeat domain 23	Ankrd23	chr1	36530193	36535739
109346	3.18337085947247	0.120736027584126	-0.528376664002665	-0.704459625298109	0	0	0	0.999998692169628	0.999625617045454	0.979464514672831	0	0	0	109346	ankyrin repeat domain 39	Ankrd39	chr1	36538171	36547252
20353	4.86235659041368	1.27295591385781	1.41094589590669	0.548311051782068	1.69134638436531	2.61824426599307	0	0.0560872465216414	0.00990769478275248	0.990283215099977	0	1	0	20353	sema domain, immunoglobulin domain (Ig), transmembrane domain (TM) and short cytoplasmic domain, (semaphorin) 4C	Sema4c	chr1	36548639	36557557
381337	-0.115983726018168	1.22957245501728	-0.588986088862567	-6.14758904900733	0.531614577915009	0	-19.0995764948025	0.301591998433977	0.876457280970074	5.72456502063488e-12	0	0	-1	381337	family with sequence similarity 178, member B	Fam178b	chr1	36562696	36593332
12859	4.50687846332143	-0.0924211077696562	-0.105759292779289	0.00167938658495004	0	0	0	0.999999815356418	0.999999871689737	0.99999997975491	0	0	0	12859	cytochrome c oxidase subunit Vb	Cox5b	chr1	36691487	36693388
226977	6.36751240453921	-0.107521463459141	-0.319906532702139	-0.753551318690113	0	0	0	0.999999996996452	0.999999978411248	0.997394635246332	0	0	0	226977	ARP1 actin-related protein 1B, centractin beta	Actr1b	chr1	36699202	36709925
22637	0.946341904766562	-4.03112427707047	-8.06938168588493	-2.96278091086968	-3.72604283715307	-9.34832635321397	-2.06993847943916	0.00108129302955037	8.41677773253812e-08	0.0288277493294287	-1	-1	0	22637	zeta-chain (TCR) associated protein kinase	Zap70	chr1	36761798	36782820
56030	6.63021358985621	0.639440900683046	1.18689522010042	1.09462563228701	0	2.68543889814789	1.17450182583616	0.999806712636707	0.00867628939280672	0.129575194692667	0	1	0	56030	transmembrane protein 131	Tmem131	chr1	36792189	36808476
70853	2.01400122115737	-5.09744076657427	-8.27119930934689	-3.24234306056294	-5.08481313942382	-9.29911910593264	-2.3437958497677	7.60021809716792e-05	9.02309200864386e-08	0.0171746556057775	-1	-1	0	70853	von Willebrand factor A domain containing 3B	Vwa3b	NA	NA	NA
269180	5.08558276689899	0.140292841591307	-1.13650112377928	-1.58357831376103	0	-1.5130681964373	-5.75004971818773	0.99999966144049	0.0758909547258172	2.20286476515339e-05	0	0	-1	269180	inositol polyphosphate-4-phosphatase, type I	Inpp4a	chr1	37299838	37399557
76178	5.61398553485931	-0.426924960005514	0.323362132800399	-0.477796309780439	0	0	0	0.999997452330851	0.99999985714212	0.999988882286601	0	0	0	76178	cytochrome C oxidase assembly factor 5	Coa5	chr1	37417085	37430103
67387	5.22257564184935	-0.190659973983231	-0.00398043021898387	-0.48172332024191	0	0	0	0.999999975160904	0.999999999938241	0.999989395548679	0	0	0	67387	unc-50 homolog (C. elegans)	Unc50	chr1	37430172	37439124
269181	5.89264064353537	1.02241567951644	2.65126065122938	4.7977180651915	0.155891391382084	12.5099497245252	16.9463835480982	0.439135665514158	1.85267776743468e-09	2.99537597119765e-11	0	1	1	269181	mannoside acetylglucosaminyltransferase 4, isoenzyme A	Mgat4a	chr1	37439340	37496095
72097	6.30077636649302	-1.58830873825965	-1.52328636899049	-0.132744184097324	-7.47493802585461	-7.58335210611995	0	1.21977910745386e-06	1.03054944592537e-06	0.999999971564126	-1	-1	0	72097	RIKEN cDNA 2010300C02 gene	2010300C02Rik	chr1	37611676	37719811
211484	3.45558870689888	-1.67305449766629	-3.32171769253549	0.0446391724721471	-2.50499625338667	-9.11580232853279	0	0.0123731507815431	1.10901779317657e-07	0.99347769655734	0	-1	0	211484	testis specific 10	Tsga10	chr1	37754572	37865082
623661	1.92292626232828	0.0368206049569508	-0.202241492735609	0.659323345842209	0	0	0	0.999997407004662	0.999970781273536	0.936813813422504	0	0	0	623661	lipoyltransferase 1	Lipt1	chr1	37872206	37876298
69028	4.02344498067684	-0.0943345521078198	0.570618859595661	0.786686373754518	0	0	0	0.999998594384056	0.997583220553409	0.882793524263387	0	0	0	69028	MIT, microtubule interacting and transport, domain containing 1	Mitd1	chr1	37878890	37890411
107734	4.80704834088707	-0.192667457493387	0.163848018738092	-0.270159553243423	0	0	0	0.999999787415278	0.999999913566436	0.999997496230295	0	0	0	107734	mitochondrial ribosomal protein L30	Mrpl30	chr1	37890553	37898333
98258	5.45759798525858	-0.0326886435663774	0.348689429115745	0.34908759589191	0	0	0	0.999999983021858	0.999998622647523	0.999989510315087	0	0	0	98258	thioredoxin domain containing 9	Txndc9	chr1	37983867	37997208
226982	6.76321279302847	-0.193235905788048	0.173612566700472	0.473588979619311	0	0	0	0.999999555194028	0.999999939420328	0.99993860874053	0	0	0	226982	eukaryotic translation initiation factor 5B	Eif5b	chr1	37998010	38055579
56210	4.14585698063116	0.607836509020936	1.26426590820152	0.832980130513972	0	2.05615516743804	0	0.997094296923876	0.0291302583699876	0.855495271450111	0	0	0	56210	REV1, DNA directed polymerase	Rev1	chr1	38052786	38083827
16764	2.17579843030161	1.3015040252099	0.24878689404947	0.879650910477825	0.947327481242155	0	0	0.179509768591102	0.993143630534922	0.618416118129948	0	0	0	16764	AF4/FMR2 family, member 3	Aff3	chr1	38175991	38627244
98388	-1.93175276546558	1.84387707317812	3.32636266120166	3.62439739987237	2.20712105090027	5.36110052875134	4.27941827591247	0.0219546188038666	4.47858732992467e-05	0.000356169720998364	0	1	1	98388	carbohydrate sulfotransferase 10	Chst10	chr1	38863873	38898160
68833	5.7073703880612	0.131256436429118	-0.13219987419803	0.105528130158756	0	0	0	0.999999998743189	0.999999999716764	0.999999997944512	0	0	0	68833	phosducin-like 3	Pdcl3	chr1	38987814	38997236
18143	5.58703103537057	-0.316584479679916	1.03639610530799	0.845021592599087	0	0.258611257261236	0	0.999808088852254	0.399787726207991	0.817486191538938	0	0	0	18143	neuronal PAS domain protein 2	Npas2	chr1	39194272	39363240
114641	2.29854380337479	0.511853251045511	1.09880719171305	0.960962882011902	0	0.649155292652807	0	0.998659855547624	0.263201148073078	0.577524303927733	0	0	0	114641	ribosomal protein L31	Rpl31	chr1	39367851	39371366
54610	6.12954704702832	0.995240049864052	0.64885678106909	0.0457397847154288	0	0	0	0.516764056048189	0.998495190052803	0.999999813980766	0	0	0	54610	TBC1 domain family, member 8	Tbc1d8	chr1	39371496	39478747
52846	4.7927004684763	-0.0461612098913138	0.359235557669885	0.563749118657888	0	0	0	0.999999999769912	0.999999961708289	0.999954329085842	0	0	0	52846	CCR4-NOT transcription complex, subunit 11	Cnot11	chr1	39535554	39546877
